file,gameName,stateClass,status,moves,durationMs,error
Adugo,Adugo,AdugoState,TIMEOUT,0,17829,exceeded 10000ms
Asalto,Asalto,AsaltoState,PLAYOUT_FAIL,0,377,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Bagh Bandi,Bagh Bandi,BaghBandiState,OK,580,396,
Bagh Batti,Bagh Batti,BaghBattiState,PLAYOUT_FAIL,0,94,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
Bagh Guti,Bagh Guti,BaghGutiState,PLAYOUT_FAIL,0,84,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
Bagha Guti,Bagha Guti,BaghaGutiState,OK,391,66,
Baghchal,Baghchal,BaghchalState,OK,358,98,
Bam Blang Beh Khla,Bam Blang Beh Khla,BamBlangBehKhlaState,OK,19,46,
Bouge Shodra,Bouge Shodra,BougeShodraState,OK,460,80,
Cercar La Liebre,Cercar La Liebre,CercarLaLiebreState,OK,26,52,
Coyote,Coyote,CoyoteState,OK,44,46,
Demala Diviyan Keliya,Demala Diviyan Keliya,DemalaDiviyanKeliyaState,OK,147,44,
Diviyan Keliya,Diviyan Keliya,DiviyanKeliyaState,OK,797,74,
El Cazador,El Cazador,ElCazadorState,OK,2500,78,
El Perro,El Perro,ElPerroState,OK,2130,106,
El Zorro,El Zorro,ElZorroState,OK,212,56,
Fox and Geese,Fox and Geese,FoxAndGeeseState,OK,227,61,
Gala (Buginese),Gala (Buginese),GalaBugineseState,OK,1528,117,
Gala,Gala,GalaState,OK,2500,69,
Gasetavl (Gedved),Gasetavl (Gedved),GasetavlGedvedState,OK,2500,111,
Gasetavl,Gasetavl,GasetavlState,OK,2500,142,
Gioco dell'Orso,Gioco dell'Orso,GiocoDellOrsoState,OK,2504,111,
Go with the Floe,Go with the Floe,GoWithTheFloeState,OK,41,91,
Haretavl,Haretavl,HaretavlState,OK,230,35,
Hat Diviyan Keliya,Hat Diviyan Keliya,HatDiviyanKeliyaState,OK,47,29,
Huli-Mane Ata,Huli-Mane Ata,HuliManeAtaState,OK,10,33,
Hund efter Hare (Thy),Hund efter Hare (Thy),HundEfterHareThyState,OK,33,54,
